Meaning,Portuguese,Spanish < Arabic
"sill, parapet (i.e. window)",parapeito < Gr. + Lat. {{sm|para + pectus}},alféizar < Hisp.-Ar. alḥáyza < Ar. ḥā'izah[22]
"lad, youth","rapaz, jovem < Lat. {{sm|rapax, juvene}}",zagal < Hisp.-Ar. zaḡál < zuḡlūl (Sp. also has joven)
"munchkin, wimp, caramel bar","monstrinho, frouxo, caramelo < Lat., *Uncertain probably Lat. {{sm|monstrum, fluxus, *cannamellis}}",alfeñique < Hisp.-Ar.fa[y]níd[23]
myrtle,"murta, mirto < Lat. {{sm|myrtus < Gr. μύρτος}}",arrayán < Ar. ar-rayhan (Sp. also has 'mirto')
rental,"aluguel/aluguer, locação, renda < Lat. {{sm| locarĭum, locatio}}, Lat. {{sm| rendita, reddere}}",alquiler < kira
"beach, boulevard","areal, passeio < Lat. {{sm|arēnāle}}, {{sm|passus}}",rambla < ramla[24]
"flip-flops, slippers",chinelo < Ita. pianella < Lat. {{sm|planus}},chanclas < late Lat. zanca < Persian zanga
drunk,bêbedo < Lat {{sm|bibutus}},borracho < Cat. morratxa[25] < al-miįrášš
farmstead,casal < Lat. {{sm|casa}},alquería < Hisp.-Ar. alqaríyya < qaryah
gazpacho (soup),gaspacho < Sp. {{sm|gazpacho}},gazpacho < Hisp.-Ar. gazpáčo < Gr. γαζοφυλάκιον
"cupboard, pantry",armário < Lat. {{sm|armarium}},"alacena < alẖazána, < ẖizānah [26] (Sp. also has armario)"
sewer,esgoto < Lat. {{sm|es + gŭtta}},alcantarilla < al-qantarah
floorcloth,pano de chão < Lat. {{sm|pannus + de + planus}},aljofifa < alǧaffífa[27]
amount,"montante, valor < Lat. {{sm|montare, valoris}}",cifra < sifr (Port. also has Cifra)
oil,óleo < Lat. {{sm|oleum}} (Port. azeite is exclusively 'olive oil'.),aceite < az-zait (Sp. óleo is 'oil painting')
melissa (herb),"erva-cidreira, melissa < Lat. {{sm|herba + citrea}}, < Gr. {{sm|mélissa}}",toronjil < turunǧán < turunǧān [28] (Sp. also has melisa)
plug,"tomada, encaixe < Uncertain origin, < Lat. in +{{sm|capsa}}",enchufe < Hisp.-Ar.guf < Ar.gawf
basil,"manjericão, basílico < Uncertain origin, maybe a combination of Por. manjar and < Lat. {{sm|basilicon}}, < Lat. {{sm|basilicum}}",albahaca < al-habaqa
yellow glandweed,erva-peganhenta < Lat. {{sm|herba + picare}},algarabía (pegajosa) < Hisp-Ar.al‘arabíyya + Lat. picare
"sir, lord",senhor < Lat. {{sm|seniorem}},"Cid < sidi or sayyid (سيد)[29], ref. to the historical hero El Cid (the common noun in Sp. is señor)"
mullah,mulá < Eng. {{sm|mullah}},"ulema < fr. uléma <ar. clas. ulamā?', pl. of ālim 'wise[30]"
"gambler, cheat","jogatana, batoteiro < Lat. {{sm|jocus}}, < Latinised < Celt. {{sm|battuĕre < bathu}}","tahúr, tafur ant. < -Ar. takfūr < Arm. T'agawor[31]"
pea,ervilha < Lat. {{sm|ervilia}},guisante < Hisp.-Ar. biššáuṭ < Lat. pisum sapidum
mackerel,cavala < Celt. {{sm|caballos}},"jurel < Hisp.-Ar. šuríl, < Lat. saurus, < Gr. σαῦρος"
"piggy bank, moneybox","mealheiro < Lat. {{sm|micalea, micae + suffix 'eiro'}}",alcancía < Hisp.-Ar. alkanzíyya
poppy,papoila or papoula < Lat. {{sm|papaver}},"amapola, ababol < Hisp.-Ar. ḥababawra"
esparto (grass),esparto < Lat. {{sm|spartum}},atocha < Hisp.-Ar. attáwca (Sp. also has esparto)
orange blossom,flor de laranjeira < Lat. {{sm|flos < floris}} + < Sanskrit {{sm|नारङ्ग nāraṅga}},azahar < azzahár < zahr[32]
scorpion,escorpião < Lat. {{sm|scorpio}},alacrán < Hisp.-Ar. al‘aqrab < ب (‘aqrab) (Sp. also has escorpión)
syrup,calda < Lat. {{sm|calda}},almíbar < al-miba
waistcoat,colete < Ital. {{sm|coletto}},chaleco < yalika
wallflower,goivo < Celt. {{sm|gulb}},alhelí < alhayrí
"bathrobe, dressing-gown","roupão (de banho), robe < Gothic {{sm|raupa}}, < Fr. {{sm|robe}}",albornoz < Al'burnus (البرنس) (Sp. also has ropón)
corner,canto < Proto-Celtic {{sm|kanto}},rincón < rukūn < rukn
flowerbed,canteiro < Proto-Celtic {{sm|kanto}},arriate < riyāḍ
"clown, buffoon","palhaço, bufão < Ital. {{sm|pagliaccio, buffone}}","mamarracho < muharráǧ, < muharriǧ (Sp. also has payaso/bufón)"
"bowl, basin",bacia < via Late Lat. baccia from Gaulish {{sm|bacca}},"tazón, jofaina < طَسَّة (tassah), < algufáyna,[33][34][35]"
"gully, trench",regueira < Proto-Celtic + Por. suffix {{sm|ɸrikā}},acequia < Hisp-Ar. assáqya < sāqiyah
bean,feijão < Lat. {{sm|faseolus}},alubia < al-lūbiyā
"trivial, futile",fútil < Lat. {{sm|futilis}},baladí < balady بلدي
to flatter (verb),"lisonjear < Provençal lauzenja, likely < Lat. {{sm|laudis}} or Gaulish lawsyā < Proto-Celtic {{sm|laws}}",halagar < ẖalak (Sp. also has lisonjear)
to save (verb),poupar < Lat. {{sm|palpare}},ahorrar < alhurr الحر
to set (verb),"engrenar, endentar < Fr. {{sm|engrener}}, < Lat. in + {{sm|dentis}}",engarzar < ġarzah
"sheath, dressing","bainha, ligadura < Lat. {{sm|vagina}}, < Lat. {{sm|ligatura}}",jareta < šarīṭah
"coffin, casket","caixão, urna < Lat. {{sm|capsa}}, < Lat. {{sm|urna}}",ataúd < التبوت at-tābūt
breast cancer,cancro da mama/câncer de mama < Lat. {{sm|cancer}},zaratán < saraṭān [36][37] (Sp. also has cáncer de mama)
"wild boar, wild swine","porco-montês, porco-bravo < Lat. {{sm|porcus}}",jabalí < جَبَلي خِنْزِير– (ḫinzîr) ǧabalî (Por. also has javali)
"clairvoyant, water diviner","vidente, vedor d’água < Lat. {{sm|videns}}","zahorí < zahuri (Sp. also has vidente, rabdomante)"
"rogue, crafty",trapaceiro < Fr. {{sm|trappe < Low Frankish {{sm|trappa}} + Por. suffix ceiro}},zamacuco < ṣamakūk
"snout, mug (colloquial)",focinho < Lat. {{sm| faucinu < faciēs}},jeta < jaṭm/kaṭm[38] (Sp. also has hocico)
"to assemble, to produce (verb)","montar, produzir < Lat. {{sm|montare, producere}}",maquilar < makilah
to cop out (verb),encostar < Lat. {{sm|en + costa}},escaquearse < Hisp-Ar. iššáh < aš-šāh
mother-of-pearl,madrepérola < Lat. {{sm|mater + perna < pernula}},nácar < naqr (نفر)[39]
